year	kanton	direkt_kantonsanteile	direkt_finanzausgleich	direkt_total	vst	zusatz_usa	wehrpflicht	total
2011	Zürich	610759091	-	610759091	83879075	146525	6611621	701396312
2011	Bern	204848571	-	204848571	59854927	104558	3495757	268303813
2011	Luzern	94936744	-	94936744	23067741	40296	1313491	119358271
2011	Uri	5719524	-	5719524	2163888	3780	138240	8025432
2011	Schwyz	109201169	-	109201169	8963559	15658	752310	118932697
2011	Obwalden	10324983	-	10324983	2173845	3797	140950	12643574
2011	Nidwalden	18560303	-	18560303	2506107	4378	195801	21266589
2011	Glarus	6798413	-	6798413	2358516	4120	129359	9290408
2011	Zug	240215092	-	240215092	6909449	12070	534322	247670934
2011	Fribourg	78701634	-	78701634	17012803	29719	1174138	96918294
2011	Solothurn	62148870	-	62148870	15594993	27242	937689	78708793
2011	Basel-Stadt	166860337	-	166860337	11298373	19737	674374	178852821
2011	Basel-Landschaft	99470482	-	99470482	16763011	29283	1109953	117372729
2011	Schaffhausen	30945899	-	30945899	4664496	8148	315117	35933660
2011	Appenzell A.Rh.	14470313	-	14470313	3238745	5658	233304	17948020
2011	Appenzell I.Rh.	4504675	-	4504675	958361	1674	72125	5536835
2011	St. Gallen	113346375	-	113346375	29255854	51106	1998445	144651780
2011	Graubünden	46644498	-	46644498	11766986	20555	815309	59247349
2011	Aargau	155496249	-	155496249	37353724	65252	2637314	195552539
2011	Thurgau	54231902	-	54231902	15177145	26512	1037764	70473323
2011	Ticino	111869782	-	111869782	20388570	35616	384615	132678583
2011	Vaud	313825886	-	313825886	43573480	76117	2669967	360145449
2011	Valais	62131434	-	62131434	19101490	33368	1463651	82729942
2011	Neuchâtel	50496568	-	50496568	10512466	18364	721773	61749171
2011	Genève	390762800	-	390762800	27961260	48844	1835711	420608615
2011	Jura	13123683	-	13123683	4278170	7472	418043	17827368
2010	Zürich	642796941	-	642796941	80741026	116702	6272259	729926928
2010	Bern	219275158	-	219275158	58211284	84138	3437904	281008484
2010	Luzern	91466561	-	91466561	22284884	32210	1314097	115097752
2010	Uri	4658630	-	4658630	2111293	3052	139107	6912083
2010	Schwyz	114453973	-	114453973	8645099	12495	778704	123890271
2010	Obwalden	9797469	-	9797469	2093189	3025	122303	12015986
2010	Nidwalden	18298502	-	18298502	2437473	3523	143200	20882698
2010	Glarus	6631518	-	6631518	2299150	3323	127760	9061750
2010	Zug	216075923	-	216075923	6625762	9577	457292	223168553
2010	Fribourg	85594335	-	85594335	16321459	23591	1248738	103188123
2010	Solothurn	52441724	-	52441724	15101886	21828	935942	68501379
2010	Basel-Stadt	144716283	-	144716283	11227049	16227	609847	156569406
2010	Basel-Landschaft	102614458	-	102614458	16300904	23561	1142367	120081290
2010	Schaffhausen	45332664	-	45332664	4520563	6534	303218	50162978
2010	Appenzell A.Rh.	14312173	-	14312173	3169360	4581	179214	17665328
2010	Appenzell I.Rh.	5014470	-	5014470	936952	1354	65311	6018086
2010	St. Gallen	114988502	-	114988502	28362253	40994	1906552	145298301
2010	Graubünden	45555357	-	45555357	11463841	16570	815766	57851534
2010	Aargau	155648217	-	155648217	35852848	51821	2574329	194127215
2010	Thurgau	51104107	-	51104107	14627286	21142	1035570	66788105
2010	Ticino	114533718	-	114533718	20059526	28994	842740	135464978
2010	Vaud	319731413	-	319731413	41916713	60586	2535306	364244019
2010	Valais	56314406	-	56314406	18366906	26547	1335045	76042904
2010	Neuchâtel	43976010	-	43976010	10256039	14824	774174	55021048
2010	Genève	386235380	-	386235380	27084543	39148	1886914	415245986
2010	Jura	9977736	-	9977736	4190559	6057	414094	14588446
