Jahr	Kantonshauptort	Kanton	12 500 Frs	15 000 Frs	17 500 Frs	20 000 Frs	25 000 Frs	30 000 Frs	35 000 Frs	40 000 Frs	45 000 Frs	50 000 Frs	60 000 Frs	70 000 Frs	80 000 Frs	90 000 Frs	100 000 Frs	150 000 Frs	200 000 Frs	300 000 Frs	400 000 Frs	500 000 Frs	1 000 000 Frs
2010	Zürich	ZH	139	247	406	571	921	1367	1850	2370	2991	3474	4900	6473	8092	9856	11637	21317	32702	58099	85009	111889	246379
2010	Bern	BE	0	0	168	363	888	1517	2163	2898	3874	4829	6734	8671	10608	12790	14982	27066	39933	66670	94057	121582	261443
2010	Luzern	LU	50	92	169	323	888	1522	2257	3009	3762	4497	6002	7507	9152	10807	12463	21432	31076	51528	72003	92455	190449
2010	Altdorf	UR	100	100	100	283	971	1644	2332	2989	3586	4212	5466	6827	8172	9487	10802	17437	24316	38060	51819	65563	134329
2010	Schwyz	SZ	150	257	387	530	841	1190	1517	1866	2282	2753	3781	4845	5965	7149	8374	14528	20723	32840	44436	56020	113974
2010	Sarnen	OW	0	272	544	815	1359	1903	2378	2854	3330	3887	5096	6306	7515	8725	9934	16009	22124	34342	46573	58790	119918
2010	Stans	NW	64	137	277	475	999	1638	2206	2804	3387	4017	5388	6756	8141	9532	10963	18237	26221	42153	57032	71677	144950
2010	Glarus	GL	0	132	356	579	1044	1631	2162	2760	3470	4163	5583	7201	8877	10516	12154	20767	30334	50545	72262	95021	192540
2010	Zug	ZG	11	50	115	209	420	635	861	1092	1342	1595	2250	2917	3622	4569	6148	13476	19437	30081	40737	51382	104638
2010	Freiburg	FR	103	225	411	642	1343	2113	2708	3392	4213	4909	6880	8824	10907	13089	15235	26786	40347	64615	87007	109375	221287
2010	Solothurn	SO	60	224	511	838	1571	2350	3155	3978	4810	5803	7790	9876	12022	14199	16419	28294	40965	66309	90622	113762	229460
2010	Basel	BS	0	0	0	0	0	660	1802	2919	4061	5178	7436	9695	11954	14213	16472	28666	42893	63260	88532	113776	240080
2010	Liestal	BL	0	0	0	0	591	1161	1854	2650	3535	4500	6570	8752	11029	13389	15822	28785	42198	69588	97514	125839	271340
2010	Schaffhausen	SH	71	183	354	566	1113	1730	2359	3004	3677	4462	6172	7999	9961	12026	14136	24782	36536	58116	77985	97833	197135
2010	Herisau	AR	61	222	456	697	1329	1947	2543	3178	3916	4639	6268	8025	9830	11670	13545	23375	33554	53560	71812	90043	181263
2010	Appenzell	AI	197	316	466	649	1083	1574	2092	2628	3200	3801	5090	6400	7759	9101	10594	18157	25478	39270	52806	66326	133976
2010	St. Gallen	SG	0	0	140	335	950	1615	2263	2975	3877	4828	6750	8685	10896	13107	15318	26614	38035	60519	81174	101806	205035
2010	Chur	GR	0	0	0	29	418	1003	1614	2235	2926	3692	5445	7204	8985	10816	12627	22301	32432	52780	73307	94021	196851
2010	Aarau	AG	0	0	0	0	216	905	1550	2333	3216	3983	5638	7382	9156	10984	12812	22337	32530	53598	75044	97092	207405
2010	Frauenfeld	TG	0	0	0	191	687	1431	2149	3001	3859	4697	6412	8108	9871	11666	13505	23230	34082	56379	79464	102523	213748
2010	Bellinzona	TI	20	20	111	331	660	997	1296	1943	2777	3611	5438	7337	9418	11482	13527	24757	36549	60984	86299	112859	246449
2010	Lausanne	VD	0	0	0	0	0	155	919	2082	3407	4814	7795	9821	11861	13969	16162	28495	42332	72566	105123	132240	267180
2010	Sitten	VS	34	34	34	34	705	1336	2033	2772	3459	4223	5923	7845	9808	11932	14164	27438	40890	64324	89022	112211	226120
2010	Neuenburg	NE	115	192	346	499	1068	1943	2796	3748	4871	6019	8536	10982	13517	15997	18639	32302	47416	72969	98025	123053	248277
2010	Genf	GE	25	25	25	25	25	548	1268	2060	2980	3976	6012	8313	10641	12969	15370	27517	40156	66886	95269	124245	273357
2010	Delsberg	JU	0	167	334	501	1082	1855	2646	3541	4552	5540	7539	9968	12402	14835	17269	30886	44728	73416	102419	131390	278478
2010	Direkte Bundessteuer	CH	0	0	0	0	38	72	106	142	182	250	486	742	1003	1500	2067	5614	10711	22578	34458	46325	102638
2011	Zürich	ZH	140	249	402	576	920	1379	1866	2390	3003	3490	4926	6511	8125	9900	11696	21403	32808	58212	85296	112409	247888
2011	Bern	BE	0	0	131	303	807	1435	2046	2791	3726	4702	6586	8523	10460	12557	14750	26676	39397	65920	93166	120691	260296
2011	Luzern	LU	50	83	153	265	752	1380	2129	2864	3616	4352	5839	7344	8866	10372	11876	19633	27990	46026	64256	82505	173693
2011	Altdorf	UR	100	100	100	281	945	1624	2288	2967	3570	4174	5411	6724	8037	9334	10632	17151	23895	37370	50920	64485	132265
2011	Schwyz	SZ	146	250	376	514	817	1157	1495	1824	2229	2663	3650	4695	5783	6920	8110	14063	20042	31747	42990	54245	110482
2011	Sarnen	OW	0	258	530	802	1345	1862	2324	2786	3302	3873	5083	6292	7502	8698	9907	15955	22029	34165	46369	58586	119633
2011	Stans	NW	50	96	202	360	805	1412	1990	2564	3146	3776	5109	6494	7862	9230	10650	17858	25316	38650	52060	65484	132561
2011	Glarus	GL	0	129	347	565	1006	1619	2138	2727	3372	4049	5419	7012	8630	10230	11830	20197	29466	49044	70201	92386	187549
2011	Zug	ZG	11	47	115	209	415	630	861	1097	1348	1601	2233	2909	3598	4545	6114	13417	19354	29928	40560	51204	104389
2011	Freiburg	FR	98	218	402	598	1331	2052	2655	3334	4155	4827	6783	8732	10809	12982	15139	26612	40069	64241	86584	108927	220715
2011	Solothurn	SO	60	220	504	829	1556	2329	3123	3928	4770	5757	7730	9802	11936	14097	16302	28068	40603	65675	89876	112895	227993
2011	Basel	BS	0	0	0	0	0	660	1778	2919	4037	5154	7413	9672	11930	14166	16425	27722	39073	62918	88138	113382	239529
2011	Liestal	BL	0	0	0	0	585	1152	1842	2635	3517	4477	6541	8717	10987	13340	15767	28668	41989	69189	97054	125342	270659
2011	Schaffhausen	SH	71	183	345	566	1113	1717	2386	3019	3695	4444	6152	7976	9917	11977	14087	24684	36349	57829	77654	97501	196671
2011	Herisau	AR	56	211	445	697	1315	1947	2577	3161	3898	4621	6249	8004	9809	11628	13503	23285	33396	53296	71507	89739	180837
2011	Appenzell	AI	202	323	476	653	1094	1594	2107	2653	3252	3867	5182	6488	7810	9180	10698	18388	25824	39828	53622	67430	136428
2011	St. Gallen	SG	0	0	148	350	949	1569	2205	2920	3784	4717	6604	8500	10670	12815	14985	26022	37157	59106	79333	99583	200765
2011	Chur	GR	0	0	0	22	406	987	1630	2235	2926	3672	5403	7184	8962	10774	12585	22211	32274	52485	72963	93672	196388
2011	Aarau	AG	0	0	0	0	212	905	1537	2333	3198	3965	5619	7361	9116	10941	12769	22248	32366	53293	74676	96724	206890
2011	Frauenfeld	TG	0	0	0	180	680	1399	2126	2837	3601	4430	6108	7806	9444	11102	12841	21978	31725	51871	72130	92411	193751
2011	Bellinzona	TI	20	20	131	349	736	1073	1366	1905	2730	3556	5363	7216	9275	11320	13344	24402	35997	60003	85006	111273	243330
2011	Lausanne	VD	0	0	0	0	0	155	891	2050	3370	4777	7753	9774	11814	13918	16110	28378	42110	72109	104578	131790	266550
2011	Sitten	VS	34	34	34	34	698	1336	2033	2757	3443	4205	5881	7802	9785	11906	14111	27306	40698	63977	88640	111805	225613
