type	level	year	money
développement	Confédération	2011	2'686'800'000
développement	Cantons	2011	27'700'000
développement	Communes	2011	14'600'000
développement	ONG	2011	413'300'000
développement	Confédération	2010	2'350'400'000
développement	Cantons	2010	32'100'000
développement	Communes	2010	15'500'000
développement	ONG	2010	431'600'000
sudest	Confédération	2011	1'300'000
sudest	Cantons	2011	100'000
sudest	Communes	2011	400'000
sudest	ONG	2011	8'600'000
sudest	Confédération	2010	5'800'000
sudest	Cantons	2010	600'000
sudest	Communes	2010	600'000
sudest	ONG	2010	6'000'000
