kanton	gemeinde	dev_2011	sudest_2011	total_2011	dev_2010	sudest_2010	total_2010
		14'577	388	14'965	15'475	568	16'043
Aargau		200	11	211	229	1	230
Aargau	Aarau	80	-	80	80	-	80
Aargau	Auw	1	-	1	1	-	1
Aargau	Baden	37	-	37	50	-	50
Aargau	Berikon	-	-	-	5	-	5
Aargau	Buchs (AG)	4	-	4	9	-	9
Aargau	Lenzburg	-	-	-	5	-	5
Aargau	Möhlin	5	-	5	5	-	5
Aargau	Neuenhof	-	-	-	5	-	5
Aargau	Niederrohrdorf	-	-	-	5	-	5
Aargau	Obersiggenthal	18	-	18	37	-	37
Aargau	Reinach (AG)	3	1	4	-	1	1
Aargau	Rheinfelden	5	-	5	13	-	13
Aargau	Staufen	..	..	..	7	-	7
Aargau	Wettingen	40	10	50	..	..	..
Aargau	Windisch	4	-	4	4	-	4
Aargau	Würenlos	3	-	3	4	-	4
Basel-Landschaft		240	4	244	280	14	294
Basel-Landschaft	Arlesheim	50	-	50	82	-	82
Basel-Landschaft	Binningen	51	4	55	66	4	70
Basel-Landschaft	Bottmingen	39	-	39	39	-	39
Basel-Landschaft	Liestal	..	..	..	6	-	6
Basel-Landschaft	Münchenstein	..	..	..	5	-	5
Basel-Landschaft	Oberwil (BL)	18	-	18	..	..	..
Basel-Landschaft	Pfeffingen	20	-	20	20	-	20
Basel-Landschaft	Reinach (BL)	45	-	45	40	10	50
Basel-Landschaft	Tenniken	2	-	2	2	-	2
Basel-Landschaft	Therwil	15	-	15	20	-	20
Basel-Stadt		283	182	465	305	167	472
Basel-Stadt	Bettingen	20	-	20	20	-	20
Basel-Stadt	Riehen	263	182	445	285	167	452
Basel-Stadt	Bern	671	44	715	861	57	917
Basel-Stadt	Aarberg	4	-	4	4	-	4
Basel-Stadt	Belp	4	-	4	6	-	6
Bern		180	-	180	293	-	293
Bern	Biel/Bienne	16	-	16	16	-	16
Bern	Bolligen	11	-	11	12	1	13
Bern	Burgdorf	1	-	1	5	-	5
Bern	Guttannen	4	-	4	5	-	5
Bern	Heimberg	30	-	30	28	3	31
Bern	Hindelbank	1	-	1	..	..	..
Bern	Ittigen	78	-	78	80	-	80
Bern	Jegenstorf	8	-	8	10	1	10
Bern	Konolfingen	1	-	1	2	-	2
Bern	Köniz	12	-	12	..	..	..
Bern	Lyss	23	-	23	16	-	16
Bern	Moosseedorf	-	-	-	3	-	3
Bern	Moutier	12	7	19	10	10	20
Bern	Muri bei Bern	60	-	60	70	-	70
Bern	Münsingen	152	-	152	201	-	201
Bern	Oberdiessbach	1	-	1	1	-	1
Bern	Ostermundigen	5	2	7	9	4	13
Bern	Saanen	12	-	12	29	1	29
