Org	Group	Name	Pays_en_dev_2011	Autres_SudEst_2011	Total_2011	Pays_en_dev_2010	Autres_SudEst_2010	Total_2010
-	0	Total	413'256	8'572	421'828	431'581	6'006	437'586
1	1	AADO-Togo - Associazione Amici dell'Oasis-Togo	60	-	60	..	..	..
0	1	Togo	60	-	60	..	..	..
1	2	ABBA - Abbanstanza per tutti	198	-	198	..	..	..
0	2	Burkina Faso	80	-	80	..	..	..
0	2	Cambodge	50	-	50	..	..	..
0	2	Inde	46	-	46	..	..	..
0	2	Nicaragua	22	-	22	..	..	..
1	3	Abokobi Society	31	-	31	-	-	-
0	3	Ghana	31	-	31	-	-	-
1	4	Acacia - Fonds für Entwicklungszusammenarbeit	671	33	704	-	-	-
0	4	Brésil	138	-	138	-	-	-
0	4	Pérou	134	-	134	-	-	-
0	4	Kirghizistan	86	-	86	-	-	-
0	4	Ukraine	77	-	77	-	-	-
0	4	Kosovo	75	-	75	-	-	-
0	4	Afghanistan	37	-	37	-	-	-
0	4	Bélarus	30	-	30	-	-	-
0	4	Israël	-	30	30	-	-	-
0	4	Afrique du Sud	24	-	24	-	-	-
0	4	Tunisie	15	-	15	-	-	-
0	4	Libye	13	-	13	-	-	-
0	4	Népal	13	-	13	-	-	-
0	4	Bosnie-Herzégovine	11	-	11	-	-	-
0	4	Divers	19	3	22	-	-	-
1	5	ACTI Espérance	140	-	140	176	-	176
0	5	Viet Nam	140	-	140	170	-	170
0	5	Divers	-	-	-	7	-	7
1	6	ADAP	5	-	5	9	-	9
1	7	ADES	655	-	655	728	-	728
0	7	Madagascar	655	-	655	728	-	728
1	8	ADRA Suisse	1'989	-	1'989	2'038	-	2'038
0	8	Myanmar	798	-	798	147	-	147
0	8	Haïti	554	-	554	1'167	-	1'167
0	8	Thaïlande	111	-	111	118	-	118
0	8	Somalie	107	-	107	32	-	32
0	8	Burkina Faso	90	-	90	63	-	63
0	8	Mongolie	79	-	79	10	-	10
0	8	Ethiopie	71	-	71	82	-	82
0	8	Brésil	48	-	48	11	-	11
0	8	PED, non spécifié	36	-	36	-	-	-
0	8	Moldavie	34	-	34	34	-	34
0	8	Pakistan	22	-	22	108	-	108
0	8	Sri Lanka	17	-	17	51	-	51
0	8	Afghanistan	12	-	12	-	-	-
0	8	Divers	12	-	12	213	-	213
